id,name,is_superhost,created_at,updated_at
1581,Annette,f,2014-01-05 16:12:45,2014-01-05 16:12:45
2164,Lulah,t,2013-07-31 23:29:31,2013-07-31 23:29:31
2217,Ion,t,2017-10-17 05:20:28,2017-10-17 05:20:28
3718,Britta,f,2009-06-05 21:34:42,2009-06-05 21:34:42
11622,Maria,f,2021-10-24 02:42:09,2021-10-24 02:42:09
12360,Michael,t,2017-08-27 12:08:43,2017-08-27 12:08:43
12424,Mariana,f,2021-11-08 17:27:31,2021-11-08 17:27:31
15115,Christian,f,2015-01-03 17:53:53,2015-01-03 17:53:53
17391,BrightRoom,t,2009-08-12 12:30:30,2009-08-12 12:30:30
22901,Hannes,f,2013-07-06 11:09:47,2013-07-06 11:09:47
32299,Simon,f,2021-11-15 21:27:50,2021-11-15 21:27:50
32918,Patricia,f,2017-02-28 21:08:27,2017-02-28 21:08:27
33355,Doug,f,2013-05-30 16:36:37,2013-05-30 16:36:37
33852,Philipp,f,2015-07-30 05:08:52,2015-07-30 05:08:52
35103,Kamal,f,2017-12-04 04:25:58,2017-12-04 04:25:58
48159,Tracey,f,2019-06-04 22:26:33,2019-06-04 22:26:33
54283,Marine,t,2010-09-27 10:29:48,2010-09-27 10:29:48
55531,Chris + Oliver,t,2010-06-15 19:56:01,2010-06-15 19:56:01
60495,Inga,f,2021-10-29 07:55:08,2021-10-29 07:55:08
64696,Rene,f,2010-05-30 12:11:33,2010-05-30 12:11:33
68997,Matthias,f,2010-02-08 17:23:48,2010-02-08 17:23:48
71331,Marc,f,2012-09-24 21:03:01,2012-09-24 21:03:01
71913,Jennifer,f,2014-12-02 17:39:03,2014-12-02 17:39:03
73158,Mina,f,2017-12-23 07:04:54,2017-12-23 07:04:54
84157,Emanuela,f,2015-12-05 14:55:58,2015-12-05 14:55:58
86159,Javier,f,2011-03-31 17:17:58,2011-03-31 17:17:58
86173,Sebastian,f,2011-06-06 01:55:30,2011-06-06 01:55:30
87357,Ramfis,t,2010-10-08 08:59:12,2010-10-08 08:59:12
94918,Tanja,f,2010-05-26 11:58:00,2010-05-26 11:58:00
98237,Damian,f,2018-05-05 03:59:36,2018-05-05 03:59:36
99662,Dominik,f,2010-09-18 04:06:39,2010-09-18 04:06:39
102461,Berlin Style Apartments,t,2016-04-29 01:22:42,2016-04-29 01:22:42
109039,Benjamin,f,2021-11-07 06:57:21,2021-11-07 06:57:21
112168,Bernd,f,2017-06-26 11:30:48,2017-06-26 11:30:48
112675,Terri,t,2010-08-03 02:49:12,2010-08-03 02:49:12
119815,Amarna,f,2018-07-03 21:21:09,2018-07-03 21:21:09
133204,Songfei,f,2016-05-29 20:19:38,2016-05-29 20:19:38
134583,Elisa,f,2016-08-19 08:17:00,2016-08-19 08:17:00
143180,Claudio&Irina,f,2010-08-16 15:09:42,2010-08-16 15:09:42
145583,Christian,f,2016-10-19 11:41:00,2016-10-19 11:41:00
145808,Veronika,f,2012-02-13 18:07:54,2012-02-13 18:07:54
147778,Filippo,f,2014-07-07 14:33:00,2014-07-07 14:33:00
149093,Rob,t,2014-01-01 15:09:31,2014-01-01 15:09:31
151200,Brilliant Apartments,t,2019-02-17 15:30:35,2019-02-17 15:30:35
151248,Flo,t,2011-06-05 15:14:50,2011-06-05 15:14:50
156897,Helen,f,2012-09-15 05:40:21,2012-09-15 05:40:21
158127,Friedrich,f,2017-01-06 05:25:51,2017-01-06 05:25:51
