id,listing_url,name,room_type,minimum_nights,host_id,price,created_at,updated_at
3176,https://www.airbnb.com/rooms/3176,Fabulous Flat in great Location,Entire home/apt,62,3718,$90.00,2009-06-05T21:34:42Z,2009-06-05T21:34:42Z
7071,https://www.airbnb.com/rooms/7071,BrightRoom with sunny greenview!,Private room,1,17391,$33.00,2009-08-12T12:30:30Z,2009-08-12T12:30:30Z
9991,https://www.airbnb.com/rooms/9991,Geourgeous flat - outstanding views,Entire home/apt,0,33852,$180.00,2015-07-30T05:08:52Z,2015-07-30T05:08:52Z
14325,https://www.airbnb.com/rooms/14325,Apartment in Prenzlauer Berg,Entire home/apt,95,55531,$70.00,2010-06-15T19:56:01Z,2010-06-15T19:56:01Z
16644,https://www.airbnb.com/rooms/16644,In the Heart of Berlin - Kreuzberg,Entire home/apt,60,64696,$90.00,2010-05-30T12:11:33Z,2010-05-30T12:11:33Z
17904,https://www.airbnb.com/rooms/17904,Beautiful Kreuzberg studio - 3 months minimum,Entire home/apt,92,68997,$47.00,2010-02-08T17:23:48Z,2010-02-08T17:23:48Z
20858,https://www.airbnb.com/rooms/20858,Designer Loft in Berlin Mitte,Entire home/apt,3,71331,$169.00,2012-09-24T21:03:01Z,2012-09-24T21:03:01Z
21869,https://www.airbnb.com/rooms/21869,Studio in the Heart of Kreuzberg,Entire home/apt,60,64696,$70.00,2010-09-08T11:45:56Z,2010-09-08T11:45:56Z
22438,https://www.airbnb.com/rooms/22438,WOHNUNG IN BERLIN ★ MITTE,Entire home/apt,90,86159,$65.00,2011-03-31T17:17:58Z,2011-03-31T17:17:58Z
22677,https://www.airbnb.com/rooms/22677,Prenzel garden with leafy terrace (quiet Guests),Entire home/apt,2,87357,$120.00,2010-10-08T08:59:12Z,2010-10-08T08:59:12Z
23834,https://www.airbnb.com/rooms/23834,Apartment in the heart of Berlin,Entire home/apt,185,94918,$65.00,2010-05-26T11:58:00Z,2010-05-26T11:58:00Z
24569,https://www.airbnb.com/rooms/24569,Sunny & Wheelchair accessible,Entire home/apt,5,99662,$200.00,2010-09-18T04:06:39Z,2010-09-18T04:06:39Z
26543,https://www.airbnb.com/rooms/26543,Helmholtzplatz Bright&Spacious Apt.,Entire home/apt,60,112675,$208.00,2010-08-03T02:49:12Z,2010-08-03T02:49:12Z
28156,https://www.airbnb.com/rooms/28156,Beautiful apartment in Prenzlauer Berg,Entire home/apt,95,55531,$80.00,2010-11-09T05:01:07Z,2010-11-09T05:01:07Z
29279,https://www.airbnb.com/rooms/29279,Quiet 2 rooms next Helmholtzplatz,Entire home/apt,92,54283,$80.00,2010-09-27T10:29:48Z,2010-09-27T10:29:48Z
30295,https://www.airbnb.com/rooms/30295,PEACEFUL FLAT WITH VINTAGE TOUCH IN PRENZLAUERBERG,Entire home/apt,4,485838,$109.00,2010-09-03T11:51:19Z,2010-09-03T11:51:19Z
33043,https://www.airbnb.com/rooms/33043,Central Bright Bellevue Free Parking WIFI 4G,Entire home/apt,3,143180,$62.00,2010-08-16T15:09:42Z,2010-08-16T15:09:42Z
35152,https://www.airbnb.com/rooms/35152,Private Room w/ own bath in Design Mitte Loft,Private room,2,151248,$78.00,2011-06-05T15:14:50Z,2011-06-05T15:14:50Z
37004,https://www.airbnb.com/rooms/37004,WONDERFUL ROOM for a bubble in Berlin Central,Private room,10,159734,$37.00,2010-07-22T02:38:14Z,2010-07-22T02:38:14Z
37554,https://www.airbnb.com/rooms/37554,More central+calm it won´t get !!,Entire home/apt,5,161823,$19.00,2016-07-10T09:55:31Z,2016-07-10T09:55:31Z
37836,https://www.airbnb.com/rooms/37836,Weekend in Berlin Party Center - II,Private room,2,272316,$40.00,2010-07-03T11:22:21Z,2010-07-03T11:22:21Z
38074,https://www.airbnb.com/rooms/38074,"In the heart of Prenzlauer Berg, 3 months min stay",Entire home/apt,92,163384,$99.00,2010-09-06T18:10:29Z,2010-09-06T18:10:29Z
40600,https://www.airbnb.com/rooms/40600,room-artist loft berlin kreuzberg,Private room,3,174970,$53.00,2012-03-23T21:26:31Z,2012-03-23T21:26:31Z
41217,https://www.airbnb.com/rooms/41217,Beautiful room,Private room,15,179110,$43.00,2010-08-11T09:47:51Z,2010-08-11T09:47:51Z
41306,https://www.airbnb.com/rooms/41306,"Schöner Altbau, 6 min zum Alexanderpatz.",Private room,1,179872,$49.00,2014-09-22T00:30:45Z,2014-09-22T00:30:45Z
42487,https://www.airbnb.com/rooms/42487,Weekend in Berlin Party Center - I,Private room,1,272316,$34.00,2011-09-11T17:02:50Z,2011-09-11T17:02:50Z
42809,https://www.airbnb.com/rooms/42809,The Berlin Artist Apartment.,Entire home/apt,4,186851,$119.00,2011-01-15T18:12:45Z,2011-01-15T18:12:45Z
44423,https://www.airbnb.com/rooms/44423,Lovely accommodation in Berlin,Private room,82,194957,$56.00,2010-09-20T04:09:56Z,2010-09-20T04:09:56Z
47938,https://www.airbnb.com/rooms/47938,Lovely 2 BR flat in Prenzlauer Berg,Entire home/apt,5,218479,$169.00,2010-09-16T15:06:12Z,2010-09-16T15:06:12Z
55853,https://www.airbnb.com/rooms/55853,Hauptstadt-Domizil,Entire home/apt,92,264072,$58.00,2013-03-06T13:26:04Z,2013-03-06T13:26:04Z
57049,https://www.airbnb.com/rooms/57049,130 sqm with a view on Mauer Park,Entire home/apt,3,54283,$250.00,2010-11-25T19:02:29Z,2010-11-25T19:02:29Z
58041,https://www.airbnb.com/rooms/58041,Apt. in a historic ambience+Wifi from,Entire home/apt,90,145808,$74.00,2012-02-13T18:07:54Z,2012-02-13T18:07:54Z
58780,https://www.airbnb.com/rooms/58780,light quiet beautiful 4 room flat,Entire home/apt,5,281614,$124.00,2011-08-24T21:37:21Z,2011-08-24T21:37:21Z
64014,https://www.airbnb.com/rooms/64014,"Rooftop apt. w/ grand view, 2 bedrooms,2 bathrooms",Entire home/apt,2,312896,$154.00,2011-09-12T15:35:20Z,2011-09-12T15:35:20Z
64245,https://www.airbnb.com/rooms/64245,Room w/ balcony and private bathroom in nice area,Private room,2,312373,$60.00,2011-06-08T17:37:40Z,2011-06-08T17:37:40Z
64590,https://www.airbnb.com/rooms/64590,Great apt. w. balcony directly on the canal!,Entire home/apt,6,315681,$118.00,2011-10-08T14:53:09Z,2011-10-08T14:53:09Z
68448,https://www.airbnb.com/rooms/68448,Quiet studio in Prenzlauer Berg near Mauerpark,Entire home/apt,3,163384,$100.00,2011-05-27T14:14:46Z,2011-05-27T14:14:46Z
72079,https://www.airbnb.com/rooms/72079,"Italian Design at Kudamm ,WiFi DSL free",Entire home/apt,3,261488,$83.00,2013-04-12T13:12:07Z,2013-04-12T13:12:07Z
80843,https://www.airbnb.com/rooms/80843,Berlin City Studio Apt.,Entire home/apt,2,437628,$49.00,2011-04-04T10:38:05Z,2011-04-04T10:38:05Z
81049,https://www.airbnb.com/rooms/81049,Lux.2BR Apart.Berlin Mitte -Licensed!,Entire home/apt,4,249501,$145.00,2011-05-31T16:44:56Z,2011-05-31T16:44:56Z
81081,https://www.airbnb.com/rooms/81081,Beautiful Prenzlauer Berg Apt,Entire home/apt,4,425899,$66.00,2011-04-09T14:24:28Z,2011-04-09T14:24:28Z
83614,https://www.airbnb.com/rooms/83614,Spacious Prenzlauer Berg Apartment in Quiet Street,Entire home/apt,1,456085,$204.00,2011-03-29T06:07:06Z,2011-03-29T06:07:06Z
85560,https://www.airbnb.com/rooms/85560,Apartment 1 in Berlin,Entire home/apt,3,451311,$79.00,2015-04-18T16:47:49Z,2015-04-18T16:47:49Z
86055,https://www.airbnb.com/rooms/86055,Luxury holiday apartment in Berlin,Entire home/apt,60,470146,$90.00,2011-07-19T19:25:35Z,2011-07-19T19:25:35Z
86090,https://www.airbnb.com/rooms/86090,spacious and cozy living in PrenzlBerg,Entire home/apt,3,472567,$102.00,2011-05-30T00:27:46Z,2011-05-30T00:27:46Z
89102,https://www.airbnb.com/rooms/89102,Bright loft in the Kastanienallee,Entire home/apt,4,485838,$106.00,2011-05-14T12:27:55Z,2011-05-14T12:27:55Z
102882,https://www.airbnb.com/rooms/102882,STORAGE APARTMENT URBAN,Entire home/apt,3,86173,$521.00,2011-06-06T01:55:30Z,2011-06-06T01:55:30Z
103602,https://www.airbnb.com/rooms/103602,Fabulous Room in Berlin's cultural centre,Private room,4,422837,$61.00,2012-02-07T00:14:03Z,2012-02-07T00:14:03Z
111579,https://www.airbnb.com/rooms/111579,IN THE CENTER OF BERLIN.....,Entire home/apt,5,570951,$75.00,2011-10-23T04:26:52Z,2011-10-23T04:26:52Z
114763,https://www.airbnb.com/rooms/114763,In the heart of Berlin!,Entire home/apt,3,582007,$135.00,2012-12-12T03:13:20Z,2012-12-12T03:13:20Z
115576,https://www.airbnb.com/rooms/115576,Bed and Garden,Entire home/apt,2,584750,$75.00,2013-08-20T22:27:26Z,2013-08-20T22:27:26Z
116832,https://www.airbnb.com/rooms/116832,Clean & Spacious Kreuzberg Apt,Entire home/apt,21,590130,$70.00,2014-07-19T04:18:26Z,2014-07-19T04:18:26Z
117649,https://www.airbnb.com/rooms/117649,F43 - your base for Berlin,Entire home/apt,92,594164,$68.00,2011-06-09T15:19:03Z,2011-06-09T15:19:03Z
127708,https://www.airbnb.com/rooms/127708,Design Jewel in the midst of MITTE!,Entire home/apt,2,632174,$73.00,2011-10-30T14:34:35Z,2011-10-30T14:34:35Z
128827,https://www.airbnb.com/rooms/128827,Gorgeous Home in the Heart of East Berlin,Entire home/apt,7,632971,$59.00,2015-04-02T14:49:29Z,2015-04-02T14:49:29Z
135097,https://www.airbnb.com/rooms/135097,Near KaDeWe & Kurfürstendamm,Entire home/apt,1,662534,$115.00,2011-07-09T10:10:17Z,2011-07-09T10:10:17Z
143605,https://www.airbnb.com/rooms/143605,""" Berlin Fuffa's 40m2  apartment """,Entire home/apt,60,696492,$40.00,2011-08-16T03:58:44Z,2011-08-16T03:58:44Z
145249,https://www.airbnb.com/rooms/145249,Private Wing of Penthouse - Terrace,Private room,2,1853661,$70.00,2012-08-06T06:26:11Z,2012-08-06T06:26:11Z
147339,https://www.airbnb.com/rooms/147339,LOVELY APARTMENT - CENTRAL - QUIET,Entire home/apt,3,712073,$50.00,2011-08-04T18:29:36Z,2011-08-04T18:29:36Z
147946,https://www.airbnb.com/rooms/147946,1-room-flat in Prenzlauer Berg/WIFI,Entire home/apt,183,712973,$28.00,2011-09-21T04:16:23Z,2011-09-21T04:16:23Z
